,2.2P,2.2P%,2.2PA,2.3P,2.3P%,2.3PA,2.AST,2.BLK,2.DRB,2.FG,2.FG%,2.FGA,2.FT,2.FT%,2.FTA,2.MP,2.ORB,2.PF,2.PTS,2.STL,2.TOV,2.TRB,2.eFG%,5.3PAr,5.AST%,5.BLK%,5.BPM,5.DBPM,5.DRB%,5.DRtg,5.DWS,5.FTr,5.OBPM,5.ORB%,5.ORtg,5.OWS,5.PER,5.STL%,5.TOV%,5.TRB%,5.TS%,5.USG%,5.VORP,5.WS,5.WS/48,6.2P+,6.3P+,6.3PAr+,6.FG Add,6.FG+,6.FT+,6.FTr+,6.TS Add,6.TS+,6.eFG+,Age,G,GS,MVP,MVP Rank,MVP Share,Player,Pos,Pos_No,Seed,Tm,Win %,Year
2.FG%,0.36534359078940043,0.8804437629094735,0.09497409772302616,-0.4624404405048477,-0.39608879999640084,-0.5088972087005523,-0.28531171476646466,0.4720042987291061,0.45310885340158913,0.13425086480164763,1.0,-0.2575201911845104,-0.011149645341869779,-0.41583966936591077,0.18422163370756325,-0.25109269122417854,0.4849473616734444,0.3505168174796625,-0.00026955618655553665,-0.33572635824354735,-0.10224076367445528,0.49467127642110365,0.7914657582749963,-0.5081500219312006,-0.28700066995829393,0.4879283565686834,0.19115952200060315,0.28812841950218776,0.47789159618101035,-0.18063621724397305,0.2747277748762976,0.44592352410445235,0.05484965299258767,0.5293681427490469,0.4171458222401027,0.23222153319982067,0.39207183381816274,-0.3091844022039405,0.07750046049154996,0.5379716449039212,0.611705900872652,-0.11723219273980773,0.14299625487317774,0.3306938891570481,0.45245952425910857,0.892843938370716,-0.39725788173590365,-0.5103401554823591,0.7397195935244492,0.9724682668825212,-0.4356132642500229,0.4393810973009144,0.5603600793388698,0.6117652759708149,0.7947394327913944,0.0331415973531401,0.05341420559372364,0.02422393100477464,0.1318480007408151,-0.19732484797356176,0.20314133144318827,,,0.5253812010650235,-0.2522508864043833,,0.26554921564253436,
2.FGA,0.6818719752886073,-0.18187580956235783,0.758620602452694,0.3252606231535633,0.1963985126773668,0.36804820267490107,-0.03204091910010688,-0.057002432307768636,0.021069736499391506,0.9169505740398973,-0.2575201911845104,1.0,0.6133159510435863,0.1499853313251725,0.5580999609589009,0.4104200801849907,-0.16182917382067485,-0.001223329124918868,0.9162487469717726,0.18134373141540758,0.35665073983250767,-0.040337855729466306,-0.2000343837875887,0.14951374545716273,0.007049094130730239,-0.10572174254633827,0.2968658771425553,-0.15607388194391078,-0.08344875715328094,0.19440694984126336,-0.04790784723264398,-0.1303924213002513,0.46456360654926304,-0.2455329913379189,-0.14612675384084045,0.24939507348376613,0.4559864691516718,0.03741836802523134,-0.5688123609451096,-0.15089787452908032,-0.13370264017965486,0.8809876110967109,0.36102099193058423,0.19536938844526897,0.06162520274921199,-0.2595114971285303,0.18984357582876343,0.023351611878364317,-0.12944151612808052,-0.2680055270992531,0.12982445303495463,-0.08888368622754544,-1.3719164162498064e-05,-0.1982616523599968,-0.2770170836403088,-0.21628953506785806,0.032111012467494225,0.13242936239888095,0.1787185606027682,-0.3845537021629102,0.3193830954999894,,,-0.06410314096840004,0.1841222714742578,,-0.18804869941893185,
2.FT,0.4890439971509567,0.03133579754224923,0.4886385318692896,0.1594002361489484,0.06668383384249377,0.19196084114453224,-0.10333638561903667,0.08840658585862442,0.13479705551461102,0.6161812392164357,-0.011149645341869779,0.6133159510435863,1.0,0.19679012341248964,0.9199657268318916,0.23234804969912143,-0.02853090758397344,0.12858405230133038,0.8019133220137483,0.03238810062167523,0.4042451500343507,0.08920526056201447,-0.0012907917692824135,0.03574655150667416,-0.06218049534444521,0.0792187239881676,0.4222614763919061,-0.0033286804195520174,0.07334295387843268,0.12293252120410449,0.032893414358474836,0.5808037660023068,0.5225152217424824,-0.057085455135592836,0.1997167937528249,0.47111630340502736,0.6261546693952933,-0.07082611919265193,-0.31233898338304006,0.033843329018309075,0.291372520529251,0.7221177422307671,0.4398458537170696,0.4274655458506941,0.41325471868829183,-0.04290600795974739,0.05633662013130598,-0.0964368053096238,-0.0008684804504983574,-0.030332657617314303,0.1752542649650455,0.5994145807258736,0.4025013923423504,0.24949856062387796,-0.0840020034816127,-0.2112058531755954,0.04931140519414822,0.09935776833228831,0.18034455394102422,-0.4197574299871396,0.3613433440080221,,,0.08443600054402278,0.1037720343010015,,-0.12241357888924972,
2.FT%,-0.28279722093571186,-0.26452737669681353,-0.1955531587152208,0.5256633087709907,0.5852668819050325,0.4971435214322877,0.2714899592431154,-0.49601235319094084,-0.46840725445179815,-0.009737422971026415,-0.41583966936591077,0.1499853313251725,0.19679012341248964,1.0,-0.16931526106135603,-0.06302251338112447,-0.6528230498265765,-0.4416861959640158,0.1628702235488834,0.11888152362911356,-0.028045841390625333,-0.5623662576338566,-0.06928581669797115,0.5406648400242243,0.27790391989338287,-0.48668257782388585,0.13213770240871406,-0.28073729383328466,-0.4696637027391789,0.4858215694880758,-0.40076495750169855,-0.3406036579527731,0.33937738223242064,-0.6430904751804449,0.36751125047971206,0.3363036863030748,0.029046469415177086,0.1355645328901168,-0.12893602059040743,-0.5557907725657658,0.28440507633766904,0.1227537316875722,0.12111020588916861,0.10939524233986136,0.11961665999914654,-0.3780866472295496,0.5859559716490307,0.493042062376998,-0.11682280469479213,-0.4521996978837181,0.9908504425396585,-0.2745023056128548,0.23617284168727906,0.24515037547261448,-0.16495586751725352,0.12354811831413749,0.11699541465208835,0.08973495998669617,0.05505534320794172,0.05800527969616174,-0.012288711773829916,,,-0.44501629496212536,0.00649301929773204,,-0.023606061623782534,
2.FTA,0.6148645715148264,0.16381728187720934,0.5685206521019555,-0.039365822134151254,-0.1606804384851724,-0.002394509760523527,-0.19967981875023075,0.28421955250518127,0.2971559439009483,0.6401711033634383,0.18422163370756325,0.5580999609589009,0.9199657268318916,-0.16931526106135603,1.0,0.23771813406309847,0.20730893422656568,0.29813856238970654,0.7528637157132633,-0.03970450690042102,0.41625863288124,0.2871554209042794,0.07482630076589036,-0.16461607387960545,-0.15749217553576514,0.270411947787981,0.38389548372384324,0.09058588282299983,0.23614352848294784,-0.04768063509440902,0.16240783615032905,0.7277750831073041,0.4161739848289888,0.17507010001559162,0.07867189408255784,0.3618065120651767,0.6429809555060105,-0.14269699047750298,-0.2754030902212215,0.23020493185905821,0.22153166632014817,0.6916192391453371,0.3962316161979259,0.3915188292654778,0.3857606456597455,0.14134106841193955,-0.17113826850806124,-0.2732593556654671,0.10308432267939097,0.18221610356521378,-0.18668185050424582,0.7162816030446146,0.34729324242471843,0.20398412352991538,0.038316831675438534,-0.25186251812533056,0.0009680583130491123,0.06474424791565135,0.1598699803480856,-0.44826860939552565,0.3743773442154073,,,0.2542602817849928,0.09186055209575586,,-0.105481469653011,
2.MP,0.26276319925412667,-0.2759955901654159,0.3578573489885481,0.06269111789625116,0.0930662586969523,0.08361025849219757,0.07827394751082503,0.017486575021046103,0.022568467464953747,0.3175540868754838,-0.25109269122417854,0.4104200801849907,0.23234804969912143,-0.06302251338112447,0.23771813406309847,1.0,0.036246225062035925,0.00449307837461761,0.3137286638133887,0.2775007574854909,0.21541529926061287,0.02855572376770149,-0.2882161898814795,-0.00044305949659109294,0.01224064016628218,-0.07515149254660676,0.07970501844385312,-0.036590227824193335,-0.11572623381524884,-0.02449467587644366,0.128231664910292,-0.047589457115839326,0.1201798792290266,-0.06841263033280817,-0.17393154090899968,0.1572295850951184,0.019466086689242785,0.1312135777110781,-0.1385623216584611,-0.11252363805333249,-0.2707581829005898,0.15206578873265966,0.2697644925597211,0.19739495247412064,-0.07887274130555214,-0.19250772486442455,0.09940644025038309,0.0862725679647112,-0.11595561194405844,-0.2404951118289446,-0.04484931160005649,-0.10785419453218646,-0.08924840107361616,-0.20097725449074674,-0.19027350065134824,-0.1871787526010897,0.1407718787123426,0.20152746150747514,0.06217029426174209,-0.17826270638818673,0.13597090023575897,,,-0.06817719190617053,0.1887205217428707,,-0.1998930476420475,
2.ORB,0.32917569547697806,0.27330729837289247,0.24359277360952467,-0.585049299022293,-0.5956440752294359,-0.5824807243824743,-0.5681867386918114,0.6636192672417288,0.7138987630641113,0.026169067050657906,0.4849473616734444,-0.16182917382067485,-0.02853090758397344,-0.6528230498265765,0.20730893422656568,0.036246225062035925,1.0,0.5918077088092641,-0.10660196513429904,-0.2817125265448899,-0.14655760553752864,0.8597937497877393,0.10205941594543727,-0.6274510337364824,-0.597540787603758,0.6303390292489068,-0.07338985439130319,0.28187360596108924,0.7071097354563125,-0.5227796030966961,0.49708626247402776,0.3960466293627839,-0.2684871821185586,0.983732704727165,-0.13854015904291975,-0.15000526895403493,0.10094589490303041,-0.31155502630431575,-0.0011750926784148078,0.8455637950275284,-0.08341433187654963,-0.17392826467259898,-0.03992045818910518,0.09918225095966597,0.0973329597657577,0.3830686991229806,-0.5886622719402154,-0.5438834073514637,0.18355603829825537,0.49313839534817966,-0.6401663213522731,0.3198067652459435,-0.0039113742716517476,-0.017462043368822018,0.2097736473286448,-0.10352509283638792,-0.010421719656829875,-0.04153035933890167,0.016473303179801554,-0.07707173575060679,0.06620795586713878,,,0.7166978523816172,0.04143040150307022,,-0.033683100554063414,
2.PF,0.324178762799406,0.18159902289031016,0.26680705915375763,-0.38319860737413725,-0.40494703831288587,-0.38343130030093897,-0.3957904568890741,0.519662060965925,0.46693715234704725,0.13489348586926847,0.3505168174796625,-0.001223329124918868,0.12858405230133038,-0.4416861959640158,0.29813856238970654,0.00449307837461761,0.5918077088092641,1.0,0.06288771231918902,-0.10008787149122093,0.09577903393578092,0.5414112478854636,0.08565598470769288,-0.44496540713494764,-0.4267074858859603,0.49354098761803933,-0.10639267304707949,0.2485105229540618,0.45301969918402274,-0.36047731584842113,0.3778853856339955,0.3746044783279917,-0.2875581247478334,0.5878400170271775,-0.18272907087429785,-0.11511033131631321,0.06255640149002781,-0.15063047941182311,0.015399704480085949,0.5280687317829402,-0.00423173184807202,0.02185288196093868,-0.04196526544517762,0.07373065998022353,0.02024211326155057,0.2513549529617532,-0.40382211205399376,-0.4333455694789759,0.15367545890424897,0.3462705528448895,-0.42671196129579897,0.29123250545043194,0.06889549031310017,0.04053997144372746,0.1557458067752646,-0.1489319507067105,0.05641247775338977,0.009381207238724425,-0.06023737259063808,-0.010743152081186787,-0.013058242112021173,,,0.5266382850041328,0.029227213087102105,,-0.025636913958313596,
2.PTS,0.6895387851980997,0.10619105332906756,0.6693943705656525,0.34890660943638807,0.1695864622770529,0.37392422902119926,-0.06743894518076514,0.031009815309866618,0.11862821844836637,0.9388794902657802,-0.00026955618655553665,0.9162487469717726,0.8019133220137483,0.1628702235488834,0.7528637157132633,0.3137286638133887,-0.10660196513429904,0.06288771231918902,1.0,0.08696090883756906,0.402544376664695,0.049570094004345554,0.10577468156354136,0.16423281618417956,-0.021906410286723587,-0.0009349723558912866,0.4756803642859239,-0.0730736452349629,0.022898045022030893,0.22776373472941963,-0.017080240092105698,0.15746198588031293,0.6328916405058759,-0.17033417676294166,0.13677264884297832,0.4645527371617052,0.6811043398114359,-0.048223776128367694,-0.512900148068647,-0.04376328902163478,0.22460302472501897,0.9006357320449663,0.5012684264413853,0.39822340653079913,0.33756425786458644,-0.007637062412530363,0.1582057058622055,-0.021556531199626538,0.1355448772610282,-0.02705832672485166,0.12995406302890375,0.2150625849167033,0.3422052161952212,0.13980593632315685,-0.010589697809743281,-0.22133482057662726,0.05743398328904541,0.1447870456534606,0.2436444716464208,-0.5006402612304984,0.43643214915912787,,,0.030439711686043074,0.0979422382302901,,-0.1023522423765133,
2.STL,-0.06045074754205598,-0.20764616683174675,0.009754034495164144,0.20648595004297876,0.22627706211245974,0.24963741773468429,0.48147856016206014,-0.27532690348567174,-0.328261032940118,0.05021536628570462,-0.33572635824354735,0.18134373141540758,0.03238810062167523,0.11888152362911356,-0.03970450690042102,0.2775007574854909,-0.2817125265448899,-0.10008787149122093,0.08696090883756906,1.0,0.2588222577768088,-0.33485808859384464,-0.22752302470379598,0.2541634178926038,0.43965871642136045,-0.322952111078639,0.3373363687343595,0.2913605375067114,-0.3820887634069363,-0.031188637829417446,0.11706914210408595,-0.19602498365008966,0.22953578500864372,-0.328590337079067,0.012862313686958636,0.1441912768967298,0.07021650423260918,0.9172512483036693,0.0966302936430672,-0.3941132809074408,-0.17990152998580064,0.0228258849329012,0.3842152360823115,0.17991589255468465,0.08102596043305411,-0.2167817208969673,0.23844898711687973,0.36021149344394454,-0.17213708418099383,-0.369303161590664,0.13268459457462006,-0.20502807892539698,-0.12794894787065714,-0.17973525352855335,-0.2234530134569497,-0.15795161037941136,0.097146615067739,0.12501843542507327,0.05867508450354294,-0.10155388777051431,0.08942249960209557,,,-0.4810889306007468,0.05114869686107606,,-0.03462183069451497,
